,title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
130,Rebellion,TV Show,2021-08-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.4
131,Shootout at Lokhandwala,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
132,The Dirty Picture,Movie,2021-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.6
133,Family Reunion,TV Show,2021-08-26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.8
134,"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.9
135,Motel Makeover,TV Show,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529.884540904652,5.0
136,Open Your Eyes,TV Show,2021-08-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,529.884540904652,6.6
137,Post Mortem: No One Dies in Skarnes,TV Show,2021-08-25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.1
138,Really Love,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.2
139,The November Man,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,6.3
140,The Old Ways,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.4
141,The River Runner,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,529.884540904652,6.9
142,The Water Man,Movie,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,5.5
143,Wheel of Fortune,TV Show,2021-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529.884540904652,6.7
144,Count Me In,Movie,2021-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,529.884540904652,6.8
145,Manifest,TV Show,2021-08-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,529.884540904652,8.7
146,Korean Cold Noodle Rhapsody,TV Show,2021-08-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.884540904652,7.3
